Subject,Condition,ConditionName,MeanAcrossBlocksGlobalHbO,MedianAcrossBlocksGlobalHbO,MedianMinusMean
3,1,1-back,0.0176875722429381,0.0137521038371139,-0.00393546840582424
3,2,2-back,-0.0149522014801869,-0.00517936122686584,0.00977284025332104
3,3,3-back,-0.0665455566663864,-0.0548264336577435,0.0117191230086429
4,1,1-back,-0.0234702562282328,-0.0280162362584367,-0.0045459800302039
4,2,2-back,-0.0521009710236183,-0.0259277242861506,0.0261732467374677
4,3,3-back,0.0119974065389578,0.019625005455182,0.00762759891622429
5,1,1-back,-0.00948242934659243,-0.0178118612349463,-0.00832943188835387
5,2,2-back,0.00205174330437501,0.0281293261937838,0.0260775828894088
5,3,3-back,-0.0194321724167779,-0.0149760293635263,0.00445614305325159
6,1,1-back,-0.00814571021690027,-0.00498336713427565,0.00316234308262462
6,2,2-back,-0.0651382072456992,-0.0557210366090636,0.00941717063663563
6,3,3-back,-0.0365361797845306,-0.0638484105971364,-0.0273122308126057
8,1,1-back,0.00458419996609137,0.00422238613324254,-0.000361813832848837
8,2,2-back,-0.11732123922885,-0.0489977259523125,0.0683235132765373
8,3,3-back,0.19109544798906,0.218996015948857,0.0279005679597965
