Subject,Condition,LegacyMeanHbO,EnhancedMeanHbO,EnhancedMinusLegacy
3,1,0.0419806039407847,0.0176875722429381,-0.0242930316978466
3,2,-0.0395638600946874,-0.0149522014801869,0.0246116586145006
3,3,0.125925847888412,-0.0665455566663864,-0.192471404554799
4,1,-0.179302501292003,-0.0234702562282328,0.15583224506377
4,2,0.0683461292933703,-0.0521009710236183,-0.120447100316989
4,3,0.0419557208080792,0.0119974065389578,-0.0299583142691214
5,1,-0.0734180225064791,-0.00948242934659243,0.0639355931598867
5,2,0.0654163473752225,0.00205174330437501,-0.0633646040708475
5,3,0.0984322826689073,-0.0194321724167779,-0.117864455085685
6,1,-0.143938337815722,-0.00814571021690027,0.135792627598821
6,2,0.0654132437985071,-0.0651382072456992,-0.130551451044206
6,3,0.0996877738601498,-0.0365361797845306,-0.13622395364468
8,1,0.0793143553485267,0.00458419996609137,-0.0747301553824353
8,2,0.0677530027089807,-0.11732123922885,-0.18507424193783
8,3,0.503513126880066,0.19109544798906,-0.312417678891006
